Region,ServiceProvider,RouteNumbers,RouteDescription,CompanyDate,EffectiveDates,DistributionList
,,"10/13",Lake  Haven   -  Warnervale    AND  Dooralong,1-Aug-15,9-Oct-17,
,,,RED  BUS,,,
,,,http://www.redbus.com.au,,,
,,,GOSFORD  -  ENTRANCE  DISTRICT,26-Nov-17,,
,,"17/18/19",Gosford  - Springfield   -  Erina  Fair  - Wamberal -    Tumbi  Umbi  -  Bateau  Bay,,26-Nov-17,
,,"21/22/23",Long  Jetty   And  The  Entrance,,26-Nov-17,
,,,WYONG  -  ENTRANCE   DISTRICT,26-Nov-17,,
,,"15/16  19",Wyong  -  Tacoma  South  -  Ourimbah -   Tuggerah  -  Chittaway  Bay  -  Berkley  Vale,,26-Nov-17,
,,"24/5/6",Bateau  Bay  SC  --Toowoon  Bay  And  The  Entrance,,26-Nov-17,
,,,BATEAU  BAY     DRISTRICT,26-Nov-17,,
,,"15/18",Bateau  Bay  Square  -  North  Entance-    Magenta -   Toukley    Lake  Haven  -  Wyong  Hosp,,26-Nov-17,
,,"21/26",Tumbi   Umbi  -  Forresters  Beach  -  Cresthaven  Mingara  Club,,26-Nov-17,
,,"28/29",,,,
,,,GOSFORD  CITY,26-Nov-17,,
,,"20",Gosford  -  Erina  Fair  -  Holgate  -  Matcham  -  Nort  Gosford  Loop  -  West  Gosford  -  Loop,,26-Nov-17,
,,"40/44",Pt  Federick  AND  Springfield,,26-Nov-17,
,,,KARIONG       -  SOMERSBY,6-May-18,,
,,32,Gosford  -  Somersby,,6-May-18,
,,33,Gosford  -  Somersby  Industrial  Area,,6-May-18,
,,34,Gosford  -  Kariong,,6-May-18,
,,,OURIMBAH   -  WYOMING   TUGGERAH,6-May-18,,
,,36,Gosford  -  Tuggerah,,6-May-18,
,,37,Gosford  -  Tuggerah,,6-May-18,
,,38,Gosford  -  Wyoming  Loop,,6-May-18,
,,,WOY  WOY    -  UMINA        - ETTALONG ,6-May-18,,
,,50,Woy  Woy  -  Umina  Beach ,,6-May-18,
,,54,Woy  Woy -   Umina  Beach  Pearl  Beach  Patonga,,6-May-18,
,,55,Woy  woy  -   Ettalong  AND  Gosford,,6-May-18,
,,57,Woy  Woy  -  Umina  Beach  AND  Castle  Circuit,,6-May-18,
,,70,Woy  Woy  -  Ettalong    AND  Gosford,,6-May-18,
,,,WOY  WOY    - BOOKER  B  - ERINA  FAIR   ,6-May-18,,
,,53,Woy  Woy   -  Booker  Bay,,6-May-18,
,,59,Woy  Woy  -   Wagstaffe,,6-May-18,
,,64,Woy  Woy  -  Erina  Fair,,6-May-18,
,,,WOY  WOY  BAY,6-May-18,,
,,58,Woy  Woy  -   Woy  Woy  Bay,,6-May-18,
,,,WAGSTAFFE,6-May-18,,
,,59,Woy  Woy    Wagstaffe,,6-May-18,
,,65,Gosford   -   Wagstaffe,,6-May-18,
,,,SARATOGA    DAVISTOWN,6-May-18,,
,,63,Gosford   -   Saratoga  AND  Davistown,,6-May-18,
,,"64/66",Gosford  -    Kincumber,,6-May-18,
,,,AVOCA  BEACH   -  KINCUMBER,6-May-18,,
,,64,Gosford  -  Woy  Woy,,6-May-18,
,,65,Gosford  -  Wagstaffe,,6-May-18,
,,"66A/C",Gosford  -  Avoca  AND   Copacabana,,6-May-18,
,,,TERRIGAL  -  WAMERBAL,6-May-18,,
,,67,Gosford  -  Terrigal    AND  North  Avoca,,6-May-18,
,,68,Gosford  -  Terrigal    AND  Wamberal,,6-May-18,
,,,Gosford  Network  Guide,19-Feb-17,,
,,,TUGGERAH -  WYONG   _  LAKE  HAVEN,26-Nov-17,,
,,78,Tuggerah  -  Wyong  -  Lake  Haven    VIA  Warnervale,,26-Nov-17,
,,79,Tuggerah  -  Wyong  -  Lake  Haven    VIA  Watanobbi,,26-Nov-17,
,,,TUGGERAH -  WYONG   _  LAKE  HAVEN,26-Nov-17,,
,,80,Tuggerah  -  Wyong  -  Lake  Haven    VIA  Wyong  Hospital,,26-Nov-17,
,,81,Tuggerah  -  Wyong  -  Lake  Haven    VIA  Wadalba,,26-Nov-17,
,,82,Tuggerah  -  Wyong  -  Lake  Haven    VIA Wyongah,,26-Nov-17,
,,,LAKE  HAVEN   -  TOUKLEY   -  NORAVILLE,26-Nov-17,,
,,90,Lake  Haven  -  San  Remo  Budgewoi  Toukley   -  Lake  Haven     ANTI  C/wise  Loop,,26-Nov-17,
,,92,Lake  haven  -  San  Remo  Budgewoi  Toukley   -  Lake  Haven     Clockwise  Loop,,26-Nov-17,
,,91,Lake  Haven  -  Toukley  Norahville,,,
,,,WYONG  -  NORAVILLE  BUDGEWOI,26-Nov-17,,
,,93,Tuggerah   -  Noraville,,26-Nov-17,
,,94,Tuggerah  -   Budgewoi,,26-Nov-17,
,,,LAKE  HAVEN   -  WYEE,26-Nov-17,,
,,95,Morriset  -  Lake  Haven  VIA   Mannering  Park  AND   Gwandalan,,26-Nov-17,
,,95X,Wyee       -   Lake  Haven  VIA   Gwandalan,,26-Nov-17,
